Cohort,Section Y1,Midterm Y1,Final Y1,Teacher Midterm Y1,Teacher Final Y1,Section Y2,Exam Y2
1.0,1.0,,,,,1.0,97.78
1.0,2.0,,,,,2.0,95.56
1.0,1.0,,,,,1.0,95.56
1.0,1.0,,,,,1.0,94.44
1.0,1.0,,,,,1.0,93.33
1.0,1.0,,,,,1.0,93.33
1.0,1.0,,,,,1.0,93.33
1.0,1.0,,,,,1.0,92.22
1.0,1.0,,,,,1.0,92.22
1.0,2.0,,,,,2.0,91.11
1.0,1.0,,,,,1.0,90
1.0,1.0,,,,,1.0,90
1.0,1.0,,,,,1.0,90
1.0,1.0,,,,,1.0,88.89
1.0,1.0,,,,,1.0,87.78
1.0,1.0,,,,,1.0,87.78
1.0,1.0,,,,,1.0,87.78
1.0,1.0,,,,,1.0,87.78
1.0,2.0,,,,,2.0,86.67
1.0,3.0,,,,,3.0,85.56
1.0,1.0,,,,,1.0,84.44
1.0,1.0,,,,,1.0,84.44
1.0,1.0,,,,,1.0,83.33
1.0,1.0,,,,,1.0,83.33
1.0,1.0,,,,,1.0,82.22
1.0,1.0,,,,,1.0,82.22
1.0,1.0,,,,,1.0,82.22
1.0,2.0,,,,,2.0,82.22
1.0,1.0,,,,,1.0,81.11
1.0,1.0,,,,,1.0,81.11
1.0,1.0,,,,,1.0,81.11
1.0,3.0,,,,,3.0,80
1.0,1.0,,,,,1.0,80
1.0,1.0,,,,,1.0,80
1.0,3.0,,,,,3.0,77.78
1.0,1.0,,,,,1.0,77.78
1.0,3.0,,,,,3.0,77.78
1.0,3.0,,,,,3.0,77.78
1.0,1.0,,,,,1.0,77.78
1.0,2.0,,,,,2.0,76.67
1.0,3.0,,,,,3.0,76.67
1.0,1.0,,,,,1.0,76.67
1.0,3.0,,,,,3.0,74.44
1.0,1.0,,,,,1.0,74.44
1.0,1.0,,,,,1.0,74.44
1.0,3.0,,,,,3.0,74.44
1.0,1.0,,,,,1.0,73.33
1.0,2.0,,,,,2.0,73.33
1.0,1.0,,,,,1.0,73.33
1.0,1.0,,,,,1.0,72.22
1.0,2.0,,,,,2.0,71.11
1.0,1.0,,,,,1.0,71.11
1.0,2.0,,,,,2.0,71.11
1.0,2.0,,,,,2.0,71.11
1.0,3.0,,,,,3.0,71.11
1.0,1.0,,,,,1.0,70
1.0,1.0,,,,,1.0,70
1.0,2.0,,,,,2.0,67.78
1.0,3.0,,,,,3.0,67.78
1.0,2.0,,,,,2.0,66.67
1.0,1.0,,,,,1.0,66.67
1.0,2.0,,,,,2.0,65.56
1.0,1.0,,,,,1.0,64.44
1.0,1.0,,,,,1.0,63.33
1.0,2.0,,,,,2.0,63.33
1.0,1.0,,,,,1.0,63.33
1.0,1.0,,,,,1.0,63.33
1.0,2.0,,,,,2.0,62.22
1.0,2.0,,,,,2.0,62.22
1.0,2.0,,,,,2.0,62.22
1.0,1.0,,,,,1.0,62.22
1.0,2.0,,,,,2.0,61.11
1.0,3.0,,,,,3.0,61.11
1.0,3.0,,,,,3.0,61.11
1.0,3.0,,,,,3.0,61.11
1.0,3.0,,,,,3.0,61.11
1.0,2.0,,,,,2.0,60
1.0,3.0,,,,,3.0,60
1.0,3.0,,,,,3.0,60
1.0,2.0,,,,,2.0,58.89
1.0,3.0,,,,,3.0,58.89
1.0,3.0,,,,,3.0,58.89
1.0,3.0,,,,,3.0,58.89
1.0,3.0,,,,,3.0,58.89
1.0,2.0,,,,,2.0,58.89
1.0,2.0,,,,,2.0,58.89
1.0,2.0,,,,,2.0,56.67
1.0,3.0,,,,,3.0,56.67
1.0,1.0,,,,,1.0,55.56
1.0,1.0,,,,,1.0,55.56
1.0,2.0,,,,,2.0,54.44
1.0,3.0,,,,,3.0,54.44
1.0,2.0,,,,,2.0,53.33
1.0,1.0,,,,,1.0,53.33
1.0,3.0,,,,,3.0,52.22
1.0,1.0,,,,,1.0,52.22
1.0,1.0,,,,,1.0,51.11
1.0,2.0,,,,,2.0,51.11
1.0,2.0,,,,,2.0,51.11
1.0,2.0,,,,,2.0,51.11
1.0,2.0,,,,,2.0,50
1.0,3.0,,,,,3.0,50
1.0,2.0,,,,,2.0,50
1.0,3.0,,,,,3.0,50
1.0,2.0,,,,,2.0,48.89
1.0,3.0,,,,,3.0,48.89
1.0,3.0,,,,,3.0,48.89
1.0,2.0,,,,,2.0,48.89
1.0,2.0,,,,,2.0,48.89
1.0,2.0,,,,,2.0,47.78
1.0,2.0,,,,,2.0,47.78
1.0,3.0,,,,,3.0,46.67
1.0,3.0,,,,,3.0,46.67
1.0,3.0,,,,,3.0,46.67
1.0,1.0,,,,,1.0,46.67
1.0,2.0,,,,,2.0,46.67
1.0,2.0,,,,,2.0,45.56
1.0,1.0,,,,,1.0,45.56
1.0,1.0,,,,,1.0,45.56
1.0,2.0,,,,,2.0,45.56
1.0,2.0,,,,,2.0,44.44
1.0,2.0,,,,,2.0,44.44
1.0,2.0,,,,,2.0,44.44
1.0,2.0,,,,,2.0,44.44
1.0,1.0,,,,,1.0,44.44
1.0,3.0,,,,,3.0,44.44
1.0,3.0,,,,,3.0,44.44
1.0,3.0,,,,,3.0,44.44
1.0,3.0,,,,,3.0,44.44
1.0,2.0,,,,,2.0,43.33
1.0,3.0,,,,,3.0,43.33
1.0,3.0,,,,,3.0,43.33
1.0,1.0,,,,,1.0,43.33
1.0,2.0,,,,,2.0,42.22
1.0,3.0,,,,,3.0,42.22
1.0,1.0,,,,,1.0,42.22
1.0,3.0,,,,,3.0,41.11
1.0,1.0,,,,,1.0,41.11
1.0,2.0,,,,,2.0,40
1.0,3.0,,,,,3.0,40
1.0,2.0,,,,,2.0,40
1.0,2.0,,,,,2.0,40
1.0,1.0,,,,,1.0,38.89
1.0,2.0,,,,,2.0,38.89
1.0,3.0,,,,,3.0,38.89
1.0,3.0,,,,,3.0,38.89
1.0,2.0,,,,,2.0,38.89
1.0,3.0,,,,,3.0,38.89
1.0,2.0,,,,,2.0,37.78
1.0,3.0,,,,,3.0,37.78
1.0,3.0,,,,,3.0,37.78
1.0,1.0,,,,,1.0,37.78
1.0,3.0,,,,,3.0,37.78
1.0,2.0,,,,,2.0,37.78
1.0,3.0,,,,,3.0,37.78
1.0,3.0,,,,,3.0,36.67
1.0,1.0,,,,,1.0,36.67
1.0,3.0,,,,,3.0,36.67
1.0,1.0,,,,,1.0,35.56
1.0,2.0,,,,,2.0,35.56
1.0,2.0,,,,,2.0,35.56
1.0,3.0,,,,,3.0,35.56
1.0,2.0,,,,,2.0,35.56
1.0,1.0,,,,,1.0,34.44
1.0,2.0,,,,,2.0,33.33
1.0,2.0,,,,,2.0,33.33
1.0,1.0,,,,,1.0,33.33
1.0,2.0,,,,,2.0,33.33
1.0,2.0,,,,,2.0,33.33
1.0,3.0,,,,,3.0,33.33
1.0,3.0,,,,,3.0,33.33
1.0,3.0,,,,,3.0,32.22
1.0,3.0,,,,,3.0,32.22
1.0,3.0,,,,,3.0,32.22
1.0,2.0,,,,,2.0,31.11
1.0,3.0,,,,,3.0,31.11
1.0,3.0,,,,,3.0,31.11
1.0,2.0,,,,,2.0,30
1.0,1.0,,,,,1.0,30
1.0,3.0,,,,,3.0,30
1.0,3.0,,,,,3.0,30
1.0,2.0,,,,,2.0,28.89
1.0,1.0,,,,,1.0,28.89
1.0,3.0,,,,,3.0,28.89
1.0,3.0,,,,,3.0,27.78
1.0,3.0,,,,,3.0,27.78
1.0,1.0,,,,,1.0,25.56
1.0,2.0,,,,,2.0,25.56
1.0,2.0,,,,,2.0,25.56
1.0,3.0,,,,,3.0,24.44
1.0,1.0,,,,,1.0,24.44
