Section,Midterm,Final,Year,Repeat,Teacher midterm,Teacher final
1,75,62,1,0,2,1
3,64,55,1,0,2,1
2,32.5,29,1,0,2,1
3,49,55,1,0,2,1
3,43,53,1,0,2,1
3,42.5,47,1,0,2,1
2,72.5,58,1,0,2,1
1,79.5,68,1,0,2,1
2,50.5,41,1,0,2,1
3,53,9,1,0,2,1
2,27.5,32,1,0,2,1
3,23.5,34,1,0,2,1
1,65.5,47,1,0,2,1
2,14,4,1,0,2,1
3,48.5,39,1,0,2,1
1,65.5,38,1,0,2,1
2,9.5,26,1,0,2,1
1,47.5,56,1,0,2,1
3,15.5,3,1,0,2,1
2,66,55,1,0,2,1
3,24,19,1,0,2,1
3,16.5,6,1,0,2,1
3,37,47,1,0,2,1
3,18,27,1,0,2,1
2,68.5,82,1,0,2,1
2,22,29,1,0,2,1
1,25,24,1,0,2,1
1,57,56,1,0,2,1
2,31,37,1,0,2,1
3,43.5,20,1,0,2,1
2,30.5,51,1,0,2,1
3,23.5,31,1,0,2,1
2,48.5,40,1,0,2,1
2,64.5,41,1,0,2,1
2,34,40,1,0,2,1
1,69.5,64,1,0,2,1
1,30,54,1,0,2,1
3,20.5,28,1,0,2,1
3,30.5,17,1,0,2,1
2,30.5,40,1,0,2,1
1,58.5,50,1,0,2,1
1,61.5,70,1,0,2,1
1,40.5,38,1,0,2,1
3,63.5,54,1,0,2,1
3,34.5,33,1,0,2,1
2,35,48,1,0,2,1
2,30,28,1,0,2,1
2,40,44,1,0,2,1
3,41,40,1,0,2,1
1,62,53,1,0,2,1
3,46.5,48,1,0,2,1
2,70,54,1,0,2,1
3,42.5,42,1,0,2,1
1,71,69,1,0,2,1
1,55.5,58,1,0,2,1
3,47.5,47,1,0,2,1
3,47.5,47,1,0,2,1
3,32.5,38,1,0,2,1
2,55,59,1,0,2,1
3,45,23,1,0,2,1
3,34.5,51,1,0,2,1
1,47.5,52,1,0,2,1
2,37,35,1,0,2,1
3,25.5,34,1,0,2,1
2,76.5,47,1,0,2,1
3,67.5,53,1,0,2,1
3,43,30,1,0,2,1
3,27,32,1,0,2,1
3,42.5,35,1,0,2,1
1,56,51,1,0,2,1
3,45,54,1,0,2,1
1,52.5,70,1,0,2,1
2,25,21,1,0,2,1
2,48,54,1,0,2,1
2,36.5,20,1,0,2,1
3,73,52,1,0,2,1
2,38,29,1,0,2,1
1,61.5,63,1,0,2,1
2,A,,1,0,2,1
2,24,47,1,0,2,1
3,53,56,1,0,2,1
1,76.5,67,1,0,2,1
2,46.5,39,1,0,2,1
1,55.5,63,1,0,2,1
2,48,58,1,0,2,1
1,50.5,47,1,0,2,1
2,68,63,1,0,2,1
3,11,21,1,0,2,1
3,76,67,1,0,2,1
3,50,50,1,0,2,1
2,31,36,1,0,2,1
1,54,58,1,0,2,1
3,51.5,53,1,0,2,1
2,32,29,1,0,2,1
3,58,60,1,0,2,1
3,31.5,28,1,0,2,1
1,67.5,61,1,0,2,1
2,14.5,A,1,0,2,1
1,63.5,65,1,0,2,1
2,59,64,1,0,2,1
1,74,65,1,0,2,1
2,41,32,1,0,2,1
1,46,39,1,0,2,1
2,19,9,1,0,2,1
3,30,25,1,0,2,1
3,67,51,1,0,2,1
2,30.5,43,1,0,2,1
2,28,15,1,0,2,1
2,24.5,24,1,0,2,1
2,24,23,1,0,2,1
2,49,50,1,0,2,1
1,72,85,1,0,2,1
3,12.5,17,1,0,2,1
1,67.5,29,1,0,2,1
2,27,8,1,0,2,1
1,29,36,1,0,2,1
1,78.5,61,1,0,2,1
1,54.5,33,1,0,2,1
1,56.5,41,1,0,2,1
1,63,55,1,0,2,1
3,26,23,1,0,2,1
3,30.5,39,1,0,2,1
2,30.5,22,1,0,2,1
2,29.5,35,1,0,2,1
1,55.5,36,1,0,2,1
2,18.5,21,1,0,2,1
1,28,28,1,0,2,1
3,5.5,3,1,0,2,1
1,84,73,1,0,2,1
3,29.5,51,1,0,2,1
1,67.5,55,1,0,2,1
3,60,46,1,0,2,1
2,26.5,35,1,0,2,1
3,19,2,1,0,2,1
2,16,20,1,0,2,1
3,25,36,1,0,2,1
3,21.5,19,1,0,2,1
3,30.5,28,1,0,2,1
2,22.5,36,1,0,2,1
1,62.5,65,1,0,2,1
2,21.5,9,1,0,2,1
2,33,42,1,0,2,1
2,38.5,40,1,0,2,1
1,32,43,1,0,2,1
1,39.5,33,1,0,2,1
1,41.5,38,1,0,2,1
1,61,58,1,0,2,1
2,19.5,23,1,0,2,1
3,26,15,1,0,2,1
2,23,28,1,0,2,1
2,48.5,52,1,0,2,1
2,11,,1,0,2,1
3,42,31,1,0,2,1
1,42,37,1,0,2,1
1,60,50,1,0,2,1
3,13,22,1,0,2,1
1,43.5,28,1,0,2,1
1,50,36,1,0,2,1
3,37.5,29,1,0,2,1
3,59.5,56,1,0,2,1
2,33.5,36,1,0,2,1
3,A,A,1,0,2,1
3,20.5,34,1,0,2,1
1,45,51,1,0,2,1
3,17.5,15,1,0,2,1
1,A,,1,0,2,1
2,27.5,19,1,0,2,1
1,53,44,1,0,2,1
1,75.5,58,1,0,2,1
1,43,46,1,0,2,1
1,54,54,1,0,2,1
1,71.5,65,1,0,2,1
3,10.5,,1,0,2,1
3,21.5,27,1,0,2,1
2,11.5,0,1,0,2,1
1,22.5,A,1,0,2,1
2,21.5,32,1,0,2,1
3,34.5,22,1,0,2,1
1,13,3,1,0,2,1
1,23,44,1,0,2,1
1,25.5,25,1,0,2,1
1,35.5,43,1,0,2,1
2,18,10,1,0,2,1
2,39.5,40,1,0,2,1
1,36,37,1,0,2,1
3,44,54,1,0,2,1
1,46,35,1,0,2,1
3,41.5,33,1,0,2,1
2,A,,1,0,2,1
3,17,17,1,0,2,1
1,56.5,61,1,0,2,1
3,37.5,52,1,0,2,1
3,23.5,21,1,0,2,1
2,71.5,67,1,0,2,1
1,63.5,66,1,0,2,1
1,36,59,1,0,2,1
2,36.5,29,1,0,2,1
1,59,64,1,0,2,1
3,15.5,27,1,0,2,1
2,28.5,42,1,0,2,1
2,31,41,1,0,2,1
1,42,31,1,0,2,1
3,12.5,A,1,0,2,1
3,7.5,13,1,0,2,1
2,28.5,40,1,0,2,1
2,13,9,1,0,2,1
3,45.5,50,1,0,2,1
3,21.5,22,1,0,2,1
1,26.5,32,1,0,2,1
3,33,46,1,0,2,1
1,13,26,1,0,2,1
2,34,31,1,0,2,1
1,50,47,1,0,2,1
3,43.5,46,1,0,2,1
3,47.5,35,1,0,2,1
2,31,29,1,0,2,1
2,29,26,1,0,2,1
1,12.5,8,1,0,2,1
3,18.5,22,1,0,2,1
3,41.5,57,1,0,2,1
3,33.5,A,1,0,2,1
2,17.5,17,1,0,2,1
1,48,55,1,0,2,1
2,20.5,37,1,0,2,1
2,12,16,1,0,2,1
2,15.5,13,1,0,2,1
3,24,40,1,0,2,1
3,29,26,1,0,2,1
1,72,60,1,0,2,1
3,39.5,53,1,0,2,1
2,19.5,11,1,0,2,1
1,33,19,1,0,2,1
2,13.5,16,1,0,2,1
1,39,29,1,0,2,1
2,43.5,38,1,0,2,1
2,16.5,11,1,0,2,1
2,10,2,1,0,2,1
2,15.5,24,1,0,2,1
2,22.5,34,1,0,2,1
2,38,27,1,0,2,1
2,28,21,1,0,2,1
1,14.5,4,1,0,2,1
2,11.5,3,1,0,2,1
1,62.5,41,1,0,2,1
2,37,49,1,0,2,1
1,34.5,29,1,0,2,1
3,16,A,1,0,2,1
3,31,18,1,0,2,1
3,50.5,41,1,0,2,1
3,25.5,35,1,0,2,1
3,4,,1,0,2,1
3,22.5,20,1,1,2,1
1,25,31,1,1,2,1
2,A,A,1,1,2,1
2,A,A,1,1,2,1
2,42.5,64,1,0,2,1
3,67,51,1,0,2,1
3,21,3,1,0,2,1
1,70.5,67,1,0,2,1
3,40.5,40.5,2,1,1,1
3,35.5,35,2,1,1,1
